,source,src_options_paths
552,process:::naver_classification:::place_classification,0
553,process:::naver_only:::place_classification,0
554,process:::naver_places:::merchant_places,0
555,process:::new_hometax_business_classification:::new_hometax_classification,0
556,process:::new_kcd_classification:::kcd_classification,0
557,process:::order_by_day:::delivery_receipt_stats,0
558,process:::order_by_month:::delivery_receipt_stats,0
559,process:::order_by_week:::delivery_receipt_stats,0
560,process:::outdated_issuers:::daily_reports,0
561,process:::outdated_issuers:::test_daily_reports,0
562,process:::owner:::businesses,0
563,process:::parsed:::parse_receipt,0
564,process:::payment_code_classification:::payment_code_classification,0
565,process:::payments:::build_raw_tables,0
566,process:::payments:::build_user_categories,0
567,process:::payments:::payments,0
568,process:::payments_stat:::build_daily_reports,0
569,process:::payments_stat:::build_stats,0
570,process:::payments_stat:::card_sales_payments,0
571,process:::payments_with_user_demo:::registration_number_card_sales,0
572,process:::paynote_business:::registration_number_businesses,0
573,process:::paynote_businesses:::paynote_businesses,0
574,process:::paynote_sdk_event:::update_sdk_event,0
575,process:::paynote_stat:::registration_number_card_sales,0
576,process:::paynote_stat_age_band:::registration_number_card_sales,0
577,process:::paynote_stat_age_band_gender:::registration_number_card_sales,0
578,process:::paynote_stat_gender:::registration_number_card_sales,0
579,process:::phones:::cashnote_users,0
580,process:::pivot:::aggregate_user_tags,0
581,process:::place_classification_with_location:::place_classification,0
582,process:::place_comments_date:::dump_incremental,0
583,process:::place_indexes_graph_format:::place_table_graph_format,0
584,process:::place_indexes_union_distinct:::place_table_incremental,0
585,process:::place_info_graph_format:::place_table_graph_format,0
586,process:::place_info_union_distinct:::place_table_incremental,0
587,process:::place_info_with_rating:::place_table_incremental,0
588,process:::place_info_with_rating_with_registration_number:::place_table_incremental,0
589,process:::place_kakao_address:::business_location_sources,0
590,process:::place_menus_graph_format:::place_table_graph_format,0
591,process:::place_menus_union_distinct:::place_table_incremental,0
592,process:::place_name:::registration_number_places,0
593,process:::place_naver_address:::business_location_sources,0
594,process:::place_reviews_date:::dump_incremental,0
595,process:::place_reviews_graph_format:::place_table_graph_format,0
596,process:::place_reviews_union_distinct:::place_table_incremental,0
597,process:::plover:::partition_prod_back_fill,0
598,process:::plover:::partition_prod_back_fill_parquet,0
599,process:::pos:::partition_prod_back_fill,0
600,process:::pos:::partition_prod_back_fill_parquet,0
